model,term,auroc,auprc,n_pos,variant,is_fallback,control,library
BulkFormer_37M,negative regulation of transcription by RNA polymerase II (GO:0000122),0.633968087906789,0.0668659465437329,504,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of cellular process (GO:0048523),0.5908611562839434,0.0496945986403906,454,osdr_common,False,real,GO-BP
BulkFormer_37M,protein phosphorylation (GO:0006468),0.6493297088590692,0.0627712265990661,449,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of intracellular signal transduction (GO:1902533),0.6324073888281925,0.0561603023741433,446,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6172487040624841,0.0508580155658869,441,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6325338697038364,0.0554856999265745,436,osdr_common,False,real,GO-BP
BulkFormer_37M,cytokine-mediated signaling pathway (GO:0019221),0.7282815375480481,0.0971858880535866,431,osdr_common,False,real,GO-BP
BulkFormer_37M,protein ubiquitination (GO:0016567),0.6608844061184684,0.0554678756034237,420,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of gene expression (GO:0010628),0.6154752411590502,0.0457768731209661,397,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of apoptotic process (GO:0043066),0.675377557292124,0.0640655707436354,392,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of cell population proliferation (GO:0008284),0.641756687644546,0.0537331294584349,391,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of intracellular signal transduction (GO:1902531),0.5975356978350992,0.0384377118249248,382,osdr_common,False,real,GO-BP
BulkFormer_37M,nervous system development (GO:0007399),0.6841776427597276,0.0590820696475584,381,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of nucleic acid-templated transcription (GO:1903507),0.6117118818193261,0.0414959982437193,378,osdr_common,False,real,GO-BP
BulkFormer_37M,neutrophil mediated immunity (GO:0002446),0.811627238255116,0.1282121259596836,362,osdr_common,False,real,GO-BP
BulkFormer_37M,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6530839812678093,0.0494612719178048,361,osdr_common,False,real,GO-BP
BulkFormer_37M,neutrophil activation involved in immune response (GO:0002283),0.8110694188670899,0.1296632694510429,359,osdr_common,False,real,GO-BP
BulkFormer_37M,phosphorylation (GO:0016310),0.6629377769215952,0.0586357931640254,358,osdr_common,False,real,GO-BP
BulkFormer_37M,neutrophil degranulation (GO:0043312),0.8114228479341062,0.1308712347100199,356,osdr_common,False,real,GO-BP
BulkFormer_37M,cellular response to cytokine stimulus (GO:0071345),0.700129583833973,0.0715868193585466,345,osdr_common,False,real,GO-BP
BulkFormer_37M,organelle organization (GO:0006996),0.6144742758510654,0.0379624622607312,343,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of cell migration (GO:0030334),0.6983943257473565,0.0564040020901795,343,osdr_common,False,real,GO-BP
BulkFormer_37M,organelle assembly (GO:0070925),0.6313485384974064,0.0374336500927572,336,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.5670020116927281,0.0313889426703496,324,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of programmed cell death (GO:0043069),0.6721672293684592,0.0555848510059921,319,osdr_common,False,real,GO-BP
BulkFormer_37M,cellular protein metabolic process (GO:0044267),0.7183797704330447,0.0739144332371003,318,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of protein phosphorylation (GO:0001934),0.6351083568282109,0.0410185512179217,316,osdr_common,False,real,GO-BP
BulkFormer_37M,protein modification by small protein conjugation (GO:0032446),0.6455680304148952,0.0414432253643219,315,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of macromolecule metabolic process (GO:0010604),0.6244467756907587,0.0372015824220983,311,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of cell population proliferation (GO:0008285),0.6035656764727464,0.0378766962704629,309,osdr_common,False,real,GO-BP
BulkFormer_50M,regulation of transcription by RNA polymerase II (GO:0006357),0.6345680584021598,0.1836831130814345,1491,osdr_common,False,real,GO-BP
BulkFormer_50M,"regulation of transcription, DNA-templated (GO:0006355)",0.6395749752395037,0.1825312678955402,1468,osdr_common,False,real,GO-BP
BulkFormer_50M,"positive regulation of transcription, DNA-templated (GO:0045893)",0.6141473594188623,0.1198386202493288,989,osdr_common,False,real,GO-BP
BulkFormer_50M,cellular protein modification process (GO:0006464),0.6055250737861384,0.0913546789987333,881,osdr_common,False,real,GO-BP
BulkFormer_50M,regulation of gene expression (GO:0010468),0.6046435841956397,0.0875495687891387,793,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of transcription by RNA polymerase II (GO:0045944),0.6251791647589116,0.0982865584518219,771,osdr_common,False,real,GO-BP
BulkFormer_50M,"negative regulation of transcription, DNA-templated (GO:0045892)",0.6254000929946623,0.0898971737489265,717,osdr_common,False,real,GO-BP
BulkFormer_50M,regulation of cell population proliferation (GO:0042127),0.6154287697950611,0.0713700588428732,623,osdr_common,False,real,GO-BP
BulkFormer_50M,regulation of apoptotic process (GO:0042981),0.6427950871950185,0.0858554695310178,606,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of cellular process (GO:0048522),0.6228707363232786,0.0613037116551903,512,osdr_common,False,real,GO-BP
BulkFormer_50M,negative regulation of transcription by RNA polymerase II (GO:0000122),0.6385100227319693,0.0724568866326398,504,osdr_common,False,real,GO-BP
BulkFormer_50M,negative regulation of cellular process (GO:0048523),0.5924890786034487,0.0505801446032669,454,osdr_common,False,real,GO-BP
BulkFormer_50M,protein phosphorylation (GO:0006468),0.6699494774594056,0.0637466786218658,449,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of intracellular signal transduction (GO:1902533),0.6477187888986295,0.0567505235948324,446,osdr_common,False,real,GO-BP
BulkFormer_50M,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6314696979791892,0.0564608076570913,441,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6207441857833528,0.0568999582965595,436,osdr_common,False,real,GO-BP
BulkFormer_50M,cytokine-mediated signaling pathway (GO:0019221),0.7342435402846408,0.0997777676586311,431,osdr_common,False,real,GO-BP
BulkFormer_50M,protein ubiquitination (GO:0016567),0.6922281739921099,0.0674607557226381,420,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of gene expression (GO:0010628),0.6066817711113266,0.0451632724084764,397,osdr_common,False,real,GO-BP
BulkFormer_50M,negative regulation of apoptotic process (GO:0043066),0.65765408037831,0.0619170703826503,392,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of cell population proliferation (GO:0008284),0.6475920628680143,0.0504669242419058,391,osdr_common,False,real,GO-BP
BulkFormer_50M,regulation of intracellular signal transduction (GO:1902531),0.6274780282367203,0.0446927551090023,382,osdr_common,False,real,GO-BP
BulkFormer_50M,nervous system development (GO:0007399),0.6738878892153527,0.0553494848899702,381,osdr_common,False,real,GO-BP
BulkFormer_50M,negative regulation of nucleic acid-templated transcription (GO:1903507),0.629336857963105,0.0523265534080756,378,osdr_common,False,real,GO-BP
BulkFormer_50M,neutrophil mediated immunity (GO:0002446),0.8129282022050323,0.1343053809177163,362,osdr_common,False,real,GO-BP
BulkFormer_50M,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6667602978959299,0.0541828283539857,361,osdr_common,False,real,GO-BP
BulkFormer_50M,neutrophil activation involved in immune response (GO:0002283),0.8121765592769998,0.1351111499604091,359,osdr_common,False,real,GO-BP
BulkFormer_50M,phosphorylation (GO:0016310),0.6717322716667739,0.0566897966159674,358,osdr_common,False,real,GO-BP
BulkFormer_50M,neutrophil degranulation (GO:0043312),0.8139727175997825,0.1304240981795048,356,osdr_common,False,real,GO-BP
BulkFormer_50M,cellular response to cytokine stimulus (GO:0071345),0.7087945042253427,0.0722690774547824,345,osdr_common,False,real,GO-BP
BulkFormer_50M,organelle organization (GO:0006996),0.6150510064613021,0.0379708344230291,343,osdr_common,False,real,GO-BP
BulkFormer_50M,regulation of cell migration (GO:0030334),0.6975771512475747,0.0556840597486228,343,osdr_common,False,real,GO-BP
BulkFormer_50M,organelle assembly (GO:0070925),0.6631007934079385,0.0430169779741848,336,osdr_common,False,real,GO-BP
BulkFormer_50M,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.5821007941090994,0.0338454166452255,324,osdr_common,False,real,GO-BP
BulkFormer_50M,negative regulation of programmed cell death (GO:0043069),0.6597463566885113,0.0563903096473698,319,osdr_common,False,real,GO-BP
BulkFormer_50M,cellular protein metabolic process (GO:0044267),0.725046004679745,0.0822536835640211,318,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of protein phosphorylation (GO:0001934),0.6349860481035864,0.0404650720112046,316,osdr_common,False,real,GO-BP
BulkFormer_50M,protein modification by small protein conjugation (GO:0032446),0.6708615654311828,0.0432030633626144,315,osdr_common,False,real,GO-BP
BulkFormer_50M,positive regulation of macromolecule metabolic process (GO:0010604),0.6212114553613932,0.0357146411923319,311,osdr_common,False,real,GO-BP
BulkFormer_50M,negative regulation of cell population proliferation (GO:0008285),0.5989841859021823,0.0341455059006064,309,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of transcription by RNA polymerase II (GO:0006357),0.6327304545012234,0.1745815985154165,1491,osdr_common,False,real,GO-BP
BulkFormer_93M,"regulation of transcription, DNA-templated (GO:0006355)",0.6285656826366163,0.1683090437701868,1468,osdr_common,False,real,GO-BP
BulkFormer_93M,"positive regulation of transcription, DNA-templated (GO:0045893)",0.6311187292441676,0.1153593809046427,989,osdr_common,False,real,GO-BP
BulkFormer_93M,cellular protein modification process (GO:0006464),0.5903546183603234,0.088122176520728,881,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of gene expression (GO:0010468),0.6132882899768536,0.0842896612677906,793,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of transcription by RNA polymerase II (GO:0045944),0.6364182669485885,0.09049554308048,771,osdr_common,False,real,GO-BP
BulkFormer_93M,"negative regulation of transcription, DNA-templated (GO:0045892)",0.645194592594473,0.0918671447145285,717,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of cell population proliferation (GO:0042127),0.6214340013973537,0.0712100548997033,623,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of apoptotic process (GO:0042981),0.6490506846341563,0.0845273193195885,606,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of cellular process (GO:0048522),0.6313553803020316,0.0589752757624996,512,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of transcription by RNA polymerase II (GO:0000122),0.6605603713380372,0.070921113235112,504,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of cellular process (GO:0048523),0.5890909140374038,0.0464810814869267,454,osdr_common,False,real,GO-BP
BulkFormer_93M,protein phosphorylation (GO:0006468),0.648572309000581,0.0572301652290927,449,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of intracellular signal transduction (GO:1902533),0.6292282096753324,0.050914464425533,446,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6344806553247762,0.0530637602539099,441,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6457659687626419,0.0560825413006752,436,osdr_common,False,real,GO-BP
BulkFormer_93M,cytokine-mediated signaling pathway (GO:0019221),0.7206244065218367,0.0848539086449772,431,osdr_common,False,real,GO-BP
BulkFormer_93M,protein ubiquitination (GO:0016567),0.6837432355141009,0.0635002669967895,420,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of gene expression (GO:0010628),0.6084963565996375,0.0449572416167834,397,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of apoptotic process (GO:0043066),0.6589455638586105,0.0569437930893236,392,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of cell population proliferation (GO:0008284),0.6385161878613586,0.0453809939339729,391,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of intracellular signal transduction (GO:1902531),0.610298131083785,0.0449101872550431,382,osdr_common,False,real,GO-BP
BulkFormer_93M,nervous system development (GO:0007399),0.6657884180382878,0.0530428708200121,381,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of nucleic acid-templated transcription (GO:1903507),0.642570056077347,0.0484396446967932,378,osdr_common,False,real,GO-BP
BulkFormer_93M,neutrophil mediated immunity (GO:0002446),0.8114428079816172,0.1318505070414269,362,osdr_common,False,real,GO-BP
BulkFormer_93M,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6426932502924119,0.0444899194573852,361,osdr_common,False,real,GO-BP
BulkFormer_93M,neutrophil activation involved in immune response (GO:0002283),0.8059516828683656,0.1330985952051181,359,osdr_common,False,real,GO-BP
BulkFormer_93M,phosphorylation (GO:0016310),0.661420514137717,0.0518103193149152,358,osdr_common,False,real,GO-BP
BulkFormer_93M,neutrophil degranulation (GO:0043312),0.8105124876466476,0.1291218209366745,356,osdr_common,False,real,GO-BP
BulkFormer_93M,cellular response to cytokine stimulus (GO:0071345),0.7169238927960041,0.0646500955487488,345,osdr_common,False,real,GO-BP
BulkFormer_93M,organelle organization (GO:0006996),0.6242311653216314,0.0390283965458678,343,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of cell migration (GO:0030334),0.6793661207307262,0.0481076725944562,343,osdr_common,False,real,GO-BP
BulkFormer_93M,organelle assembly (GO:0070925),0.626437095646092,0.0413534683885721,336,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.5889789527120108,0.0329855920601106,324,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of programmed cell death (GO:0043069),0.6676282532581979,0.0519354082272226,319,osdr_common,False,real,GO-BP
BulkFormer_93M,cellular protein metabolic process (GO:0044267),0.706309247541212,0.0720328963534735,318,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of protein phosphorylation (GO:0001934),0.6059657651595138,0.0335229854249044,316,osdr_common,False,real,GO-BP
BulkFormer_93M,protein modification by small protein conjugation (GO:0032446),0.6615217873600215,0.0411067783967906,315,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of macromolecule metabolic process (GO:0010604),0.6228448281153216,0.0363134365232248,311,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of cell population proliferation (GO:0008285),0.5892700127063234,0.0325666756244107,309,osdr_common,False,real,GO-BP
Geneformer,regulation of transcription by RNA polymerase II (GO:0006357),0.7650495290841016,0.3646195329793233,1491,osdr_common,False,real,GO-BP
Geneformer,"regulation of transcription, DNA-templated (GO:0006355)",0.7738130936243433,0.3756377690808113,1468,osdr_common,False,real,GO-BP
Geneformer,"positive regulation of transcription, DNA-templated (GO:0045893)",0.7041689195532043,0.184907725668824,989,osdr_common,False,real,GO-BP
Geneformer,cellular protein modification process (GO:0006464),0.6121684765899981,0.0946043127170366,881,osdr_common,False,real,GO-BP
Geneformer,regulation of gene expression (GO:0010468),0.628317636633264,0.0981839129008703,793,osdr_common,False,real,GO-BP
Geneformer,positive regulation of transcription by RNA polymerase II (GO:0045944),0.7010672241057723,0.1447370204037306,771,osdr_common,False,real,GO-BP
Geneformer,"negative regulation of transcription, DNA-templated (GO:0045892)",0.7082177631234075,0.1404675521352882,717,osdr_common,False,real,GO-BP
Geneformer,regulation of cell population proliferation (GO:0042127),0.553413943783188,0.0594421372766244,623,osdr_common,False,real,GO-BP
Geneformer,regulation of apoptotic process (GO:0042981),0.5857157091275444,0.0641303767364399,606,osdr_common,False,real,GO-BP
